CategoryID,Concat, AddThis , Adobe Analytics , Adobe Target , Akamai , Algolia , Amazon AWS , AppDynamics , Bing Ads , CloudFlare, F5 , Facebook , Google Ads , Google Analytics , Java , JustUno , LinkedIn , LogRocket , Microsoft Clarity , Mixpanel , Okta , OneTrust , Optimizely , Playframework , Salesforce, Salesforce LiveAgent , ShareThis , Snapchat , Unknown 
3,linkedin use determin oribi analyt carri specif domain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,snapchat cooki associ snapchat track individu session websit allow websit compil statist data multipl visit data also use creat lead market purpos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,unknown use cookiecons local storag item mixpanel use __mp_opt_in_out_ local storag item rememb decis use use option cooki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,justuno cooki use cach justuno version use websit account cooki expir 30min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,onetrust cooki set cooki complianc solut onetrust store inform categori cooki site use whether visitor given withdrawn consent use categori enabl site owner prevent cooki categori set user browser consent given cooki normal lifespan one year return visitor site prefer rememb contain inform identifi site visitor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,playframework cooki play framework use store session data belong custombuilt intern web app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,appdynam browser perform manag tool use cooki collect web perform data ip address,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,googl analyt use market purpos specif use track custom variabl googl analyt use performancemarket purpos,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,cloudflar __cfruid cooki strictli necessari support cloudflar rate limit product part rate limit solut cooki requir manag incom traffic better visibl origin particular request,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,microsoft persist clariti user id prefer uniqu site attribut user id,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,adob analyt s_per cooki part adob analyt use measur perform site usag across visit cooki contain person inform first parti cooki,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
